Название;Цена;Описание;Ссылка на самолетик;Ссылка на картинку
Радиоуправляемый самолет для начинающих F16 FIGHTER 2.4G - FX823;2590 ₽;Радиоуправляемый самолет для начинающих F16 FIGHTER 2.4G - FX823 - это качественный двухканальный самолет для начинающих. Человек всегда мечтал покорять небеса, парить, словно птица. Теперь эта возможность доступна не только профессиональным летчикам, но и обычным людям. Данная модель самолета погрузит своего владельца в увлекательный мир 3D пилотирования. Благодаря упрощенной системе управления игрушка идеальна для начинающих.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-dlya-nachinayushchih-f16-fighter-2-4g---fx823/;https://copterdrone.ru/uploads/products/33988.0x600.jpeg
Радиоуправляемый самолет планер White Pterosaur - FX818;2590 ₽;Радиоуправляемый самолет планер White Pterosaur - FX818 - это планер с пультом управления для начинающих. Самолет сконструирован таким образом, чтобы максимально облегчить управление для новичков. Гибкие крылья отлично обтекаются воздухом и адаптируются к условиям полета, позволяя планеру уверенно держаться в небе.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-planer-white-pterosaur-fx818/;https://copterdrone.ru/uploads/products/31691.0x600.jpeg
Радиоуправляемый самолет Fei Xiong F35 (EPP) 2.4G - FX835;2590 ₽;Радиоуправляемый истребитель со встроенная система стабилизации с 3-осевым гироскопом удерживает самолет в одной плоскости, что гарантирует устойчивость в полете. Дальность полета 120 метров. Время полета 10 минут.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-fei-xiong-f35--epp--2-4g---fx835/;https://copterdrone.ru/uploads/products/37645.0x600.jpg
Радиоуправляемый самолет Fei Xiong J-20 RTF 2.4G - FX830-BLACK;2590 ₽;Радиоуправляемый самолёт подойдет как начинающим , так и профессиональным пилотам! Время полета до 15 минут. Дальность полета 150 метров.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-fei-xiong-j-20-rtf-2-4g---fx830-black/;https://copterdrone.ru/uploads/products/37650.0x600.jpg
Радиоуправляемый самолет Fei Xiong J-20 RTF 2.4G - FX830-GREY;2590 ₽;Радиоуправляемый самолёт подойдет как начинающим , так и профессиональным пилотам! Время полета до 15 минут. Дальность полета 100 метров.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-fei-xiong-j-20-rtf-2-4g---fx830-grey/;https://copterdrone.ru/uploads/products/37659.0x600.jpg
Радиоуправляемый самолет FX803 Piper J-3 RTF 2.4G - FX803;2990 ₽;Радиоуправляемый самолет с размахом крыла - 38 см. Модель выполнена из прочного и лёгкого материла EPP. Длительность игры может достигать 20 минут. Расстояние управления - 120 метров. Цвет - белый.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-fx803-piper-j-3-rtf-24g-fx803/;https://copterdrone.ru/copter/res/image/uploads/store/product/bc133705fca34a305416f5565402f926.jpg
Радиоуправляемый гидро-планер Sea-Land-Air 3 в 1 RTF 2.4 G - FX815;2990 ₽;Радиоуправляемый гидроплан с бесколлекторными двигателями. Модель способна взлетать как с водной поверхности так и с земной. Радиус действия пульта - 100 метров, а каналов управления - 2. Время игры достиагет 10 минут;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-gidro-planer-sea-land-air-3-v-1-rtf-24-g-fx815/;https://copterdrone.ru/copter/res/image/uploads/store/product/9d7c0285cde26059df6c4bb7a0eff47e.jpg
Радиоуправляемый самолет Fei Xiong SU-35 2.4G - FX620-RED;2990 ₽;Радиоуправляемая модель - копия популярного самолета SU-35, оснащенная светодиодной подсветкой. До 10 минут полета без подзарядки. Радиус действия достигает 100 метров. Цвет розовый.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-fei-xiong-su-35-24g-fx620-red/;https://copterdrone.ru/copter/res/image/uploads/store/product/00d4164a1c8f8c40832ef5f63b226e47.jpg
Радиоуправляемый самолет Fei Xiong SU-35 2.4G - FX620-YELLOW;2990 ₽;Радиоуправляемая модель - копия популярного самолета SU-35, оснащенная светодиодной подсветкой. До 10 минут полета без подзарядки. Радиус действия достигает 100 метров. Цвет желтый.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-fei-xiong-su-35-24g-fx620-yellow/;https://copterdrone.ru/copter/res/image/uploads/store/product/708aa636532920cf3a84f6b7bb7eaefd.jpg
Радиоуправляемый самолет XK F-16B LiPo EPP - XK-A200;3010 ₽;Радиоуправляемый самолёт для начинающих пилотов. Установлен гироскоп, благодаря которому полёт будет стабилизирован. Два канала. Дальность управления 100-150 метров. Время полёта - 13 минут.;https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-xk-f-16b-lipo-epp-xk-a200/;https://copterdrone.ru/copter/res/image/uploads/store/product/6bec892d98de81346ed27ede297cd70c.jpg
