Название;Цена;Описание;Ссылка на самолетик;Ссылка на картинку
Радиоуправляемый самолет истребитель XK Innovation P40 RTF 2.4G - A220;5960 ₽;Копия истребителя P40 от XK Innovation. Есть шестиосевой гироскоп, помогающий новичкам освоиться в управлении. При желании можно научиться выполнять сальто, кувыркаться в стороны и летать вверх ногами с помощью пульта ДУ. Время работы составляет до 10 минут. Цвет - жёлто-зеленый.;https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-istrebitel-xk-innovation-p40-rtf-24g-a220/;https://copterdrone.ru/copter/res/image/uploads/store/product/d7e3d39166c8d688d3adccbfb6641701.jpg
Радиоуправляемый самолет истребитель XK Innovation T28 RTF 2.4G - A210;5960 ₽;Копия истребителя T28 от XK Innovation. Есть шестиосевой гироскоп, помогающий новичкам освоиться в управлении. При желании можно научиться выполнять сальто, кувыркаться в стороны и летать вверх ногами с помощью пульта ДУ. Время работы составляет до 10 минут. Цвет - черный с желтым.;https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-istrebitel-xk-innovation-t28-rtf-24g-a210/;https://copterdrone.ru/copter/res/image/uploads/store/product/fd95cf08b5dbf9d269f0b76b5e9dfa6b.jpg
Радиоуправляемый планер Multiplex Easy Glider Pro KIT 21 4226;5990 ₽;KIT-набор для сборки модели планера. 2 варианта сборки (с батареей и без). Размах крыла 1830 мм. Легкая и прочная конструкция из Elapor. 3D-пилотаж.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-planer-multiplex-easy-glider-pro-kit-21-4226/;https://copterdrone.ru/copter/res/image/uploads/store/product/2f70486618baa5f05573dc371a6c901f.jpg
Радиоуправляемый самолет Multiplex Extra 330SC KIT 21 4335;5990 ₽;KIT-набор для сборки модели самолета. 6 минут полета, идеален для 3D-пилотирования.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-multiplex-extra-330sc-kit-21-4335/;https://copterdrone.ru/copter/res/image/uploads/store/product/bb92a457522b99ff0019a6cd3f6d5635.jpg
Самолет FlyZone Micro Calypso Glider EP 630мм, электро, RTF;5990 ₽;Покладистая модель отличается легким управлением и быстрой сборкой.;https://copterdrone.ru/catalog/rc_planes/samolet-flyzone-micro-calypso-glider-ep-630mm-elektro-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/0ba982423a5558a146a98f126324c894.jpg
Радиоуправляемый самолет TechOne SBACH 342 HCF Depron KIT;6190 ₽;KIT-набор для сборки радиоуправляемой модели самолета. Надежная конструкция, стабильность полета, управляемость.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-techone-sbach-342-hcf-depron-kit/;https://copterdrone.ru/copter/res/image/uploads/store/product/e835295d41a48306a5ddd243161bcfe1.jpg
Радиоуправляемый самолет Volantex 761-1 Trainstar Mini TW761-1 EXA76101R;6290 ₽;Модель для начинающих авиалюбителей, выполненная из ударопрочного EPP материала. Благодаря трём режимам, которые можно переключить прямо на аппаратуре любой пользователь сможет подобрать лётные возможности под себя.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-761-1-trainstar-mini-tw761-1/;https://copterdrone.ru/copter/res/image/uploads/store/product/6e26ce87e38971f2fb7314833a4bae53.jpg
Радиоуправляемый самолет Volantex RC Sport Cub 400мм (желтый) with Gyro 3ch RTF 2.4G - EXA76114R;6490 ₽;Радиоуправляемый самолет Volantex RC Sport Cub 400мм для начинающих с системой стабилизации Xpilot в комплектации RTF. Трехуровневая система управления полетом обеспечивает легкое управление полетом, не говоря уже о пилотажном полете простым нажатием одной кнопки.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-sport-cub-400mm--zheltyj--2-4g-3ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76114_01.jpg
Радиоуправляемый самолет Volantex RC F22 2.4G 4ch RTF - EXA76107R;6780 ₽;Радиоуправляемый военный самолёт с гироскопом. Истребитель может летать как на улице, так и в помещениях. Двигатель коллекторный, а управление 4х канальное. Можно выполнять фигуры высшего пилотажа.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-f22-24g-4ch-rtf-exa76107r/;https://copterdrone.ru/copter/res/image/uploads/store/product/55936a1061a663de618c95dd0589e89c.jpg
Радиоуправляемый самолет Joysway Invader RTF 2.4G - JS6104V2;6820 ₽;Прекрасно подходит как для обучения, так и для развлекательных полётов.Модель полностью собрана, укомплектована и настроена на заводе.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-joysway-invader-rtf-24g-js6104v2/;https://copterdrone.ru/copter/res/image/uploads/store/product/872bf9e62fcaa80b015871b649fbafcd.jpg
Радиоуправляемый самолет Joysway Smart-K RTF 2.4G - JS6106V2;6870 ₽;Отлично подходит для начинающих в качестве первоначального тренера.Сборка занимает минимальное время благодаря предварительно установленному электродвигателю.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-joysway-smart-k-rtf-24g-js6106v2/;https://copterdrone.ru/copter/res/image/uploads/store/product/6ce8fe6fd53155a85e835011b62c4286.jpg
Радиоуправляемый самолет WL Toys F959S Sky King 6-AXIS GYRO 2.4G - F959S-BLUE;6973 ₽;Среднегабаритная модель планера с простым управлением, оснащена яркой светодиодной подсветкой. Размах крыла 750 мм;https://copterdrone.ru/catalog/rc_planes/wltoys-fly/radioupravlyaemyy-samolet-wl-toys-f959s-sky-king-6-axis-gyro-24g-f959s-blue/;https://copterdrone.ru/copter/res/image/uploads/store/product/4771b40b396128e978572eb5961758c5.jpg
Радиоуправляемый самолет TechOne Swift EPP KIT TO-SWIFT;6980 ₽;KIT-набор для сборки модели самолета для 3D-пилотирования. Размах крыла 1200 мм. EPP, усиление карбоновыми рейками.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-techone-swift-epp-kit-to-swift/;https://copterdrone.ru/copter/res/image/uploads/store/product/f2189ce0ec39c26dfd11e4b052781deb.jpg
Радиоуправляемый самолёт VolantexRC 756-2 Saber 920 KIT - TW756-2-KIT;7190 ₽;KIT-набор для начинающих любителей радиоуправляемых моделей. Превосходный баланс веса и размера модели позволит выполнять высшие фигуры пилотажа, что доставит яркие и насыщенные эмоции!;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolyot-volantexrc-756-2-saber-920-kit-tw756-2-kit/;https://copterdrone.ru/copter/res/image/uploads/store/product/c989b66539f756daf3eb33cfc7859229.jpg
Радиоуправляемый самолет Volantex RC P40 Warhawk with Gyro 400мм 4ch RTF 2.4G - EXA76113R;7290 ₽;Радиоуправляемый самолет Volantex RC P40 Warhawk 400мм для начинающих с системой стабилизации Xpilot в комплектации RTF. Трехуровневая система управления полетом обеспечивает легкое управление полетом, не говоря уже о пилотажном полете простым нажатием одной кнопки.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-p40-warhawk-400mm-2-4g-4ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76113_01.jpg
Радиоуправляемый самолет Volantex RC B109 with Gyro 400мм 4ch RTF 2.4G - EXA76111R;7290 ₽;Радиоуправляемый самолет Volantex RC B109 для начинающих с системой стабилизации Xpilot в комплектации RTF. Трехуровневая система управления полетом обеспечивает легкое управление полетом, не говоря уже о пилотажном полете простым нажатием одной кнопки.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-b109-400mm-2-4g-4ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76111R_01.jpg
Радиоуправляемый самолет WLToys F959 Sky King;7340 ₽;Среднегабаритная модель мотопланера обладает очень легким управлением, оснащена яркой светодиодной подсветкой. Размах крыла 750 мм;https://copterdrone.ru/catalog/rc_planes/wltoys_f959_sky_king/;https://copterdrone.ru/copter/res/image/uploads/store/product/afbccb75f878ce43e15dfa43624a3c15.jpg
Радиоуправляемый самолет Volantex RC Spitefire with Gyro 400мм 4ch RTF 2.4G - EXA76112R;7390 ₽;Радиоуправляемый самолет Volantex RC Spitefire 400мм для начинающих с системой стабилизации Xpilot в комплектации RTF. Трехуровневая система управления полетом обеспечивает легкое управление полетом, не говоря уже о пилотажном полете простым нажатием одной кнопки.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-spitefire-400mm-2-4g-4ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76112_01.jpg
Радиоуправляемый самолет Cymodel Jodel Robin KIT CY8123;7535 ₽;KIT-набор для сборки модели самолета. Для новичков и опытных. Размах крыла 1010 мм. Надежная конструкция, стабильность полета, управляемость.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-cymodel-jodel-robin-kit-cy8123/;https://copterdrone.ru/copter/res/image/uploads/store/product/4819051580b461a3cef396be0b8ded20.jpg
Радиоуправляемый самолет Volantex 756-2 Saber 920 - TW756-2-PNP;7590 ₽;Отличная модель от Volantex для любителей профессиональных моделей. Мощный бесколлекторный мотор, точно сбалансированные вес и размер в совокупности дают невероятные лётные характеристики. PNP комплектация.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-756-2-saber-920-tw756-2/;https://copterdrone.ru/copter/res/image/uploads/store/product/34dcb66b9401a6344a7b63ca3ad2883c.jpg
Радиоуправляемый самолет Volantex RC T28 400мм 2.4G 4ch LiPo RTF with Gyro EXA76109R;7840 ₽;Т-28 - это радиоуправляемый боевой 4-канальный самолет, обладающий отличными спортивными характеристиками и способный выполнять фигуры высшего пилотажа. Благодаря встроенной системе гироскопического стабилизатора Xpilot с мощной моторной системой, самолет летает стабильно, ловко реагирует на управление и может выполнять фигуры высшего пилотажа даже в условиях небольшого ветра.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-t28-400mm-2-4g-4ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76109R_01.png
Радиоуправляемый самолет Volantex RC F4U 2.4G 4ch RTF - EXA76108R;7850 ₽;Радиоуправляемый самолёт , который способен выполнять трюки высшего пилотажа. Гироскоп - 6 осевой, двигатель - коллекторный. Длина планера - 30 см. Новая конструкция винта предотвращает его поломку при падениях.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-f4u-24g-4ch-rtf-exa76108r/;https://copterdrone.ru/copter/res/image/uploads/store/product/fa8b072873535b2e237091346c3366a6.jpg
Радиоуправляемый самолет XK Innovation IMITATE F22A RAPTOR 2.4G - A180;7910 ₽;Самолет на радиоуправлении с возможностью делать трюки высшего пилотажа за счет 3D режима. Дальность управления может достигать 200 метров. Время полета 6-8 минут. Двигатель бесколлекторный.;https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-xk-innovation-imitate-f22a-raptor-24g-a180/;https://copterdrone.ru/copter/res/image/uploads/store/product/0b8e5223b7937f90ed0c4339e879f8b8.jpg
Радиоуправляемый самолёт-планер Volantex 761-2 Ranger 600 - TW761-2;8050 ₽;Великолепный планер от компании Volantex, оснащенный улучшенной системой стабилизацией полёта. Идеальная модель ддля начинающих любителей авиамодлей! RTF-комплектация.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolyot-planer-volantex-761-2-ranger-600-tw761-2/;https://copterdrone.ru/copter/res/image/uploads/store/product/a109d35d224496c2967bd31795f44d8b.jpg
Радиоуправляемый самолет Volantex Sbach 342 KIT TW756-1-KIT;8085 ₽;KIT-набор для сборки модели самолета. 3D-пилотаж. Размах крыла 1100 мм. Легкая и прочная конструкция.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-volantex-sbach-342-kit-tw756-1-kit/;https://copterdrone.ru/copter/res/image/uploads/store/product/f850330cd51de3c1f9f967c68232cdad.jpg
Радиоуправляемый самолет Volantex RC Sport Cub 500мм 4ch LiPo RTF 2.4G - EXA76104R;8190 ₽;Самолет-тренер от Volantex RC. Имеет встроенную систему стабилизации Xpilot с тремя режимами поддержки, функцию автоматического разворота и функцию автоматического выполнения любительских трюков. Цвет - белый с красным.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-sport-cub-500mm-4ch-lipo-rtf-24g-exa76104r/;https://copterdrone.ru/copter/res/image/uploads/store/product/50588312940ecd793de3e32f974fb49a.jpg
Радиоуправляемый самолет FreeWing Yak-130 70 mm KIT FJ20911K;8390 ₽;KIT-набор для сборки модели самолета. Узнаваемый дизайн. Размах крыла 920 мм. Корпус из легкого и прочного EPO. Съемные крылья и угольный лонжерон. Электронное шасси.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-freewing-yak-130-70-mm-kit-fj20911k/;https://copterdrone.ru/copter/res/image/uploads/store/product/d9c1c499f1a7fb50f8f387ccaecbdbed.jpg
Радиоуправляемый самолет Volantex RC F16 4ch LiPo RTF 2.4G - EXA76110R;8590 ₽;Радиоуправляемый истребитель с мощным коллекторным двигателем. Благодаря гироскопу самолет подойдет и для начинающих пользователей. Сделан из ударостойкого материала EPP. Размах крыла - 33,6 см;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-f16-4ch-lipo-rtf-24g-exa76110r/;https://copterdrone.ru/copter/res/image/uploads/store/product/8d0605a187746b30be36e6d0e413c406.jpg
Радиоуправляемый самолет XK-Innovation EDGE A430;8920 ₽;Модель с системой стабилизации 6G и возможностью выполнения фигур 3D-пилотажа, 5 каналов управления;https://copterdrone.ru/catalog/rc_planes/xk_innovation_a430/;https://copterdrone.ru/copter/res/images/xk_innovation_a430_001.jpg
Радиоуправляемый самолет HobbyZone Sport Cub S RTF with SAFE® Technology HBZ4400;8990 ₽;Полет 15 минут. Несколько полетных режимов, восстановление горизонтального полета в режиме «Паника», технология SAFE®. Пропорциональное управление, 4 канала, управление хвостовым колесом.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-hobbyzone-sport-cub-s-rtf-with-safer-technology-hbz4400/;https://copterdrone.ru/copter/res/image/uploads/store/product/aaf2115ae36261505b2cb5ced542e89a.jpg
Радиоуправляемый самолет XK Innovation A800 RTF 2.4G - A800;9040 ₽;Радиоуправляемый планер с мощным коллекторным двигателем! Корпус радиоуправляемого самолета XK-Innovation A800 выполнен из очень легкого и прочного EPO-материала.;https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-xk-innovation-a800-rtf-24g-a800/;https://copterdrone.ru/copter/res/image/uploads/store/product/234f8efa6eb3508c9772e75b01a42023.jpg
Радиоуправляемый самолет Volantex RC Zero 400мм 2.4G 4ch LiPo RTF with Gyro - EXA76115R;9190 ₽;Радиоуправляемый самолет Volantex RC Zero 400мм для начинающих с системой стабилизации Xpilot в комплектации RTF. Трехуровневая система управления полетом обеспечивает легкое управление полетом, не говоря уже о пилотажном полете простым нажатием одной кнопки.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-zero-400mm-2-4g-4ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76115_02.jpg
Радиоуправляемый самолет Volantex RC P51D 400мм (синий) 2.4G 4ch LiPo RTF with Gyro - EXA76105RB;9290 ₽;Радиоуправляемый самолет VolantexRC P51D Mustang - один из лучших радиоуправляемых самолетов для начинающих детей и взрослых. Он обладает отличными спортивными характеристиками.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-p51d-400mm--sinij--2-4g-4ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76105RB_00.jpg
Радиоуправляемый самолет Volantex RC Sport Cub 500мм (синий) 2.4G 4ch LiPo RTF with Gyro - EXA76104RB;9490 ₽;Радиоуправляемый самолет Sport Cub 500 RTF - самолет-тренер с системой стабилизации Xpilot, с функцией разворота и может автоматически выполнять фигуры высшего пилотажа в двух направлениях.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-sport-cub-500mm--sinij--2-4g-4ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76104B_00.jpg
Радиоуправляемый самолет Art-tech Як-54;9490 ₽;Крупногабаритная модель для опытных пользователей. Предназначена для выполнения фигур высшего пилотажа;https://copterdrone.ru/catalog/rc_planes/art_tech_yak_54/;https://copterdrone.ru/copter/res/images/art_tech_yak_54_1.jpg
Радиоуправляемый самолет Volantex RC P51D 2.4G 4ch RTF - EXA76105R;9490 ₽;Радиоуправляемый самолёт с 4-х канальным управлением. На борт модели установлен 6-ти осевой гироскоп. Размах крыла 40 см. Благодаря аккумулятору авиамодель может лететь на одном заряде до 15 минут.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-p51d-24g-4ch-rtf-exa76105r/;https://copterdrone.ru/copter/res/image/uploads/store/product/c4e15ff2d95d530c4496781a0c600390.jpg
Радиоуправляемый планер Volantex RC PhoenixS 1600мм KIT - EXA74207K;9790 ₽;Классический радиоуправляемый планер Volantex RC PhoenixS в комплектации KIT. Прочный материал корпуса. Прочный пластиковый фюзеляж обеспечивает устойчивость к повреждениям при посадке и столкновении. Размах крыла 1,6 м. Благодаря большому размаху крыльев PhoenixS стабильно летает на ветру, экономя энергию за счет планирования и увеличивая время полета.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-phoenixs-1600mm-kit/;https://copterdrone.ru/uploads/products/EXA74207K.jpg
Радиоуправляемый самолет Top RC F4 Белый 628 мм импеллер PNP;9990 ₽;Крупногабаритная импеллерная модель с детализированным корпусом. Бесколлекторный мотор, 5 сервоприводов. Мощная система питания. Для высоких и низких скоростей, фигур высшего пилотажа.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-top-rc-f4-belyy-628-mm-impeller-pnp/;https://copterdrone.ru/copter/res/image/uploads/store/product/bd4b5b105ff9b272b8737af9c0207639.jpg
Радиоуправляемый самолет XK Innovations A600;10060 ₽;Подходит для классического и 3d пилотажа, оснащена надежным и мощным бесколлекторным мотором;https://copterdrone.ru/catalog/rc_planes/xk_innovations_a600/;https://copterdrone.ru/copter/res/image/uploads/store/product/1fda6c2f71e91d16090a41a56adead2e.jpg
Радиоуправляемый самолет WL Toys 3D 6G 4CH RTF 2.4G - WLT-A280;10790 ₽;Самолёт полностью собран, весь корпус окрашен в серый и красный цвета и готов к полету, осталось только зарядить аккумулятор, вставить батарейки в пульт и можно летать!;https://copterdrone.ru/catalog/rc_planes/wltoys-fly/radioupravlyaemyy-samolet-wl-toys-3d-6g-4ch-rtf-2-4g-wlt-a280/;https://copterdrone.ru/uploads/products/3d6g_4ch_rc_scale_plane_wlt_a280_64af700a4c812_5393_big.jpg
Радиоуправляемый самолет HobbyZone Champ S+ HBZ5400 RTF;10900 ₽;Для новичков и опытных пилотов, технология SAFE Plus, 3 режима, GPS. Размах крыла 694 мм. Бесколлекторный мотор. Полет 12 минут.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-hobbyzone-champ-s-hbz5400-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/01042c1289f45b187c11e70c0796cda0.jpg
Радиоуправляемый самолет Multiplex Funcub KIT MPX-214243;10920 ₽;KIT-набор для сборки модели самолета. 3D-пилотаж. Размах крыла 1400 мм. Легкая и прочная конструкция из Elapor.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-multiplex-funcub-kit-mpx-214243/;https://copterdrone.ru/copter/res/image/uploads/store/product/c486b78ed1b6d5b625aa45948c81ec61.jpg
Радиоуправляемый планер Volantex RC Ranger 1600мм KIT - EXA75707K;10990 ₽;Радиоуправляемый самолет Volantexrc Ranger 1600 представляет собой большой планер с размахом крыльев 1,6 метра в комплектации KIT.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-ranger-1600mm-kit/;https://copterdrone.ru/uploads/products/EXA75707K.jpg
Радиоуправляемый планер Volantex RC ASW28 2600мм KIT - EXA75901K;11299 ₽;Радиоуправляемый самолет Volantexrc ASW28 представляет собой большой планер с размахом крыльев 2,6 метра в комплектации RTF.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-asw28-2600mm-kit/;https://copterdrone.ru/uploads/products/EXA75901K_03.jpg
Радиоуправляемый самолет XK-Innovation X520 RTF;11530 ₽;Дальность до 150 метров. Время полета до 15 минут. Вертикальный взлет. Стабилизация полета при помощи 6-осевого встроенного гироскопа.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-xk-innovation-x520-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/5ab5c112d9c193685712ab34bbca3f0e.jpg
Радиоуправляемый самолет WLtoys A160 J3 SKYLARK - XK-A160;11890 ₽;Самолет на радиоуправлении от фирмы WLtoys с возможностью выполнения трюков высшего пилотажа. Время полёта от 8 до 18 минут. 4х канальная аппаратура. Большой размах крыла - 65 см, а длина фюзеляжа -  46см.;https://copterdrone.ru/catalog/rc_planes/wltoys-fly/radioupravlyaemyy-samolet-wltoys-a160-j3-skylark-xk-a160/;https://copterdrone.ru/copter/res/image/uploads/store/product/c6b00ec959fe681f264da10dd8f1cfa7.jpg
Радиоуправляемый самолет XK-Innovation X520-W RTF;12090 ₽;Оборудован камерой. Дальность до 150 метров. Время полета до 15 минут. Вертикальный взлет. Стабилизация полета при помощи 6-осевого встроенного гироскопа.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-xk-innovation-x520-w-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/23446d84fb25c185ddaf538e70ee70e8.jpg
Радиоуправляемый самолет планер Volantex RC Ranger 750мм Brushless 4ch RTF 2.4G - EXA76702R;12290 ₽;"Самолет от Volantex RC с бесколлекторным двигателем&nbsp;1806-2450 KV и тремя уровнями управления полетом. Может выполнять трюки любительского уровня. Опционально можно установить мини-камеру. Цвет - белый с черно-красными декалями.";https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-planer-volantex-rc-ranger-750mm-brushless-4ch-rtf-24g-exa76702r/;https://copterdrone.ru/copter/res/image/uploads/store/product/9c01acca1e901bafe27354df73bea97e.jpg
Радиоуправляемый самолет Joysway Huntsman 1100 V2 Yellow Mode 2 RTF 2.4G - JS6108V2-Ye;12580 ₽;"Модель имеет интересную функцию&nbsp;автоматической вертикальной посадки.Отлично подходит для начинающих в качестве первоначального тренера.";https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-joysway-huntsman-1100-v2-yellow-mode-2-rtf-24g-js6108v2-ye/;https://copterdrone.ru/copter/res/image/uploads/store/product/8a38d5e8ade34a49010858c4624b2e00.jpg
Радиоуправляемый самолет Joysway Huntsman 1100 V2 Orange Mode 2 RTF 2.4G - JS6108V2-Or;12580 ₽;"Модель имеет интересную функцию&nbsp;автоматической вертикальной посадки.Отлично подходит для начинающих в качестве первоначального тренера.";https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-joysway-huntsman-1100-v2-orange-mode-2-rtf-24g-js6108v2-or/;https://copterdrone.ru/copter/res/image/uploads/store/product/cb878bc67b716f55428d45cc68115a93.jpg
Радиоуправляемый планер Volantex TW757-2 FPV raptor PNP;12825 ₽;Маневренный планер, яркий дизайн, FPV. Корпус из EPO, размах крыла 2000 мм. Бесколлекторный мотор. 6 каналов управления.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-planer-volantex-tw757-2-fpv-raptor-pnp/;https://copterdrone.ru/copter/res/image/uploads/store/product/21fe8af16c46bf123734e1cb9cf221c0.jpg
Радиоуправляемый самолет Top RC Jet Star Голубой 800 мм PNP;12990 ₽;Импеллерная модель с детализированным модульным корпусом. Импеллер 65 мм. Бесколлекторный мотор. Фигуры высшего пилотажа.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-top-rc-jet-star-goluboy-800-mm-pnp/;https://copterdrone.ru/copter/res/image/uploads/store/product/c5a124afbcbee3eacdf477d643c60796.jpg
Радиоуправляемый планер Volantex RC Ranger 1600мм Brushless PNP - EXA75707P;12990 ₽;Радиоуправляемый самолет Volantexrc Ranger 1600 представляет собой большой планер с размахом крыльев 1,6 метра в комплектации PNP. 6-осевой гироскоп обеспечивает стабильный полет даже новичкам.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-ranger-1600mm-brushless-pnp/;https://copterdrone.ru/uploads/products/EXA75707K.jpg
Радиоуправляемый планер Volantex RC Phoenix 2400мм KIT - EXA75903K;12990 ₽;Радиоуправляемый самолет Volantexrc Phoenix 2400 представляет собой большой планер с размахом крыльев 2,4 метра в комплектации KIT.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-phoenix-2400mm-kit/;https://copterdrone.ru/uploads/products/EXA75903K.jpg
Радиоуправляемый самолет Volantex RC P51D Brushless 2.4G 4ch RTF - EXA76801RRBL;12990 ₽;Радиоуправляемый самолёт с 4-х канальным управлением. На борт модели установлен 6-ти осевой гироскоп. Размах крыла 75 см. Двигатель бесколлекторный. Благодаря аккумулятору авиамодель может лететь на одном заряде до 15 минут.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-p51d-brushless-24g-4ch-rtf-exa76801rrbl/;https://copterdrone.ru/copter/res/image/uploads/store/product/749356c8eb31c09a6228f5a5f027e392.jpg
Радиоуправляемый самолет XK Innovations A1200;13200 ₽;Корпус из прочного материала с транслирующей FullHD камерой (приобретается отдельно);https://copterdrone.ru/catalog/rc_planes/xk_innovations_a1200/;https://copterdrone.ru/copter/res/images/xk_innovations_a1200_1.jpg
Радиоуправляемый планер Volantex RC Phoenix V2 2000мм KIT - EXA75902K;13290 ₽;Радиоуправляемый самолет Volantexrc Phoenix V2 представляет собой большой планер с размахом крыльев 2 метра в комплектации RTF.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-phoenix-v2-2000mm-kit/;https://copterdrone.ru/uploads/products/EXA75902K_03.jpg
Радиоуправляемый планер Volantex RC Ranger 2000мм KIT - EXA75708K;13290 ₽;Радиоуправляемый самолет Volantexrc Ranger 2000 представляет собой большой планер с размахом крыльев 2,0 метра в комплектации KIT.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-ranger-2000mm-kit/;https://copterdrone.ru/uploads/products/EXA75708K.jpg
Радиоуправляемый самолет Hubsan F22 RTF HT015B;13560 ₽;Оборудован камерой. Дальность до 300 метров. Время полета до 8 минут. GPS-навигация. Автоматический взлет.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-hubsan-f22-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/dc5471e3777048a5a5ad97c62845a40e.jpg
Радиоуправляемый планер Top RC Lightning 2100 (Propeller Power System) 2100мм KIT Top090A;13590 ₽;Радиоуправляемый планер с размахом крыла 210 см! В комплекте присутствует только сам планер без электроники, требуется докупить все остальное. Выполнен из EPO материала с добавлением углеволокна.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-planer-top-rc-lightning-2100-propeller-power-system-2100mm-kit-top090a/;https://copterdrone.ru/copter/res/image/uploads/store/product/90e272171fc751b21cb18858ace53de0.jpg
